timestamp_ms,rss_kb,virtual_memory_kb,peak_rss_kb,threads,minor_page_faults,major_page_faults,rss_growth_kb_s,minor_faults_s,major_faults_s,risk_score,risk_level,label,run_id
1787858455155,3256,6964,265280,1,2287,1,0.000,0.000,0.000,0.000,low,normal,burst_01
1787858456182,265404,269112,265404,1,2927,1,255256.086,623.174,0.000,71.250,high,normal,burst_01
1787858457200,265404,269112,265404,1,2927,1,128376.956,0.000,0.000,71.250,high,normal,burst_01
1787858458272,265404,269112,265404,1,2927,1,75440.813,0.000,0.000,71.250,high,normal,burst_01
1787858459283,265404,269112,265404,1,2927,1,50530.581,0.000,0.000,71.250,high,normal,burst_01
1787858460289,3256,6964,265280,1,2927,1,230.674,0.000,0.000,26.250,moderate,normal,burst_01
1787858461347,3256,6964,265280,1,2927,1,-18052.839,0.000,0.000,7.500,low,normal,burst_01
1787858462362,3256,6964,265280,1,2927,1,-24150.062,0.000,0.000,7.500,low,normal,burst_01
1787858463422,3256,6964,265280,1,2927,1,-25350.544,0.000,0.000,7.500,low,normal,burst_01
1787858464424,265404,269112,265404,1,3567,1,-10778.890,638.723,0.000,7.500,low,normal,burst_01
1787858465427,265404,269112,265404,1,3567,1,-12409.183,0.000,0.000,7.500,low,normal,burst_01
1787858466427,265404,269112,265404,1,3567,1,-117.173,0.000,0.000,7.500,low,normal,burst_01
1787858467477,265404,269112,265404,1,3567,1,12357.541,0.000,0.000,71.250,high,normal,burst_01
1787858468536,3256,6964,265280,1,3567,1,10700.818,0.000,0.000,71.250,high,normal,burst_01
1787858469586,3256,6964,265280,1,3567,1,12139.772,0.000,0.000,71.250,high,normal,burst_01
1787858470604,3256,6964,265280,1,3567,1,-270.026,0.000,0.000,7.500,low,normal,burst_01
1787858471617,3256,6964,265280,1,3567,1,-12601.010,0.000,0.000,7.500,low,normal,burst_01
1787858472687,265404,269112,265404,1,4207,1,-10939.274,598.131,0.000,7.500,low,normal,burst_01
1787858473756,265404,269112,265404,1,4207,1,-12180.780,0.000,0.000,7.500,low,normal,burst_01
1787858474783,265404,269112,265404,1,4207,1,49.815,0.000,0.000,7.500,low,normal,burst_01
