timestamp_ms,rss_kb,virtual_memory_kb,peak_rss_kb,threads,minor_page_faults,major_page_faults,rss_growth_kb_s,minor_faults_s,major_faults_s,risk_score,risk_level,label,run_id
1787858258791,29872,33628,29872,1,7013,1,0.000,0.000,0.000,0.000,low,leak,leak_01
1787858259823,31920,35684,31920,1,7525,1,1984.496,496.124,0.000,52.500,high,leak,leak_01
1787858260992,33252,37740,33440,1,7926,1,1526.944,343.028,0.000,65.266,high,leak,leak_01
1787858262022,34992,38768,34992,1,8293,1,1533.140,356.311,0.000,66.180,high,leak,leak_01
1787858263088,37040,40824,37040,1,8805,1,1610.562,480.300,0.000,66.540,high,leak,leak_01
1787858264150,39088,42880,39088,1,9317,1,1677.698,482.109,0.000,66.835,high,leak,leak_01
1787858265212,41136,44936,41136,1,9829,1,1728.458,482.109,0.000,67.073,high,leak,leak_01
1787858266281,43184,46992,43184,1,10341,1,1765.344,478.952,0.000,67.273,high,leak,leak_01
1787858267325,45232,49048,45232,1,10853,1,1795.326,490.421,0.000,67.419,high,leak,leak_01
1787858268367,47280,51104,47280,1,11365,1,1819.694,491.363,0.000,67.544,high,leak,leak_01
1787858269436,49328,53160,49328,1,11877,1,1862.080,478.952,0.000,67.570,high,leak,leak_01
1787858270504,51376,55216,51376,1,12389,1,1920.699,479.401,0.000,69.281,high,leak,leak_01
1787858271571,53424,57272,53424,1,12901,1,1933.254,479.850,0.000,69.834,high,leak,leak_01
1787858272632,55472,59328,55472,1,13413,1,1933.054,482.564,0.000,69.837,high,leak,leak_01
1787858273632,0,0,0,1,13925,1,-1010.135,512.000,0.000,7.500,low,leak,leak_01
